a0 a1 a2 a3 b0 b1 b2 b3 c0 sim_hex sim_val golden_val abs_error
0BCB B245 0C8B E1E0 3272 C5DF 18C1 0D3B FFC22D4B 13636237 310.211478 310.211478 0.000000
D60F C064 CB02 F894 38F0 DEDF EB00 E528 FF98EDD0 03A0441C 58.016628 58.016628 0.000000
F03C BE8B D10D EA58 BA74 E941 0135 079A 00863AE4 09C24800 156.142578 156.142578 0.000000
1B87 3F22 0B29 B8DC 3A13 D2E4 BD3D EAD6 00A063A8 FEB7B0A2 -20.519377 -20.519377 0.000000
3083 1BBB F036 2204 3087 1439 F40B 0A8A 000C1081 0D9246B3 217.142261 217.142261 0.000000
34E8 076D F61D 31C1 BF0A 0A82 49AE D96B FFA38BE1 E82CADAC -381.207600 -381.207600 0.000000
FA41 34D7 D0AD 1CB8 1171 27D4 0445 0D21 FF91EC02 08153518 129.325462 129.325462 0.000000
3BFD E0A0 3721 45FE 348F CDA6 C4D1 0DD0 008EEB45 0A13A3A9 161.227456 161.227456 0.000000
2BF5 D5D6 4FC8 E98D F748 C602 1EC7 3D5C FF96DE4E 0BDACA06 189.674322 189.674322 0.000000
29BF 270E 3280 1B63 E273 0879 4D0A 2CC4 00E3AEB3 115967EA 277.587870 277.587870 0.000000
46A3 CECC CF0D CCC6 FB0B F847 3B47 198D FFBA6531 EF65C46F -265.639543 -265.639543 0.000000
D51E 288F 12B0 C338 11C9 1E81 4A18 D2D4 FECD02F0 10C9C26D 268.609967 268.609967 0.000000
D47A 05CD F8EE 1AA8 1443 D6E6 FB31 C50F 0083F7D7 F6228759 -157.841956 -157.841956 0.000000
D1BF 4D69 217F 0995 EE28 2257 CD4C C4B1 00483637 05092777 80.572135 80.572135 0.000000
0840 E3F3 C729 DED2 3FC5 4AE9 49FB 33FA FFBF29E5 E26E5E97 -473.101907 -473.101907 0.000000
2197 C950 BADF FA73 C821 C78A C95D 1467 00C5629F 13D01E7E 317.007444 317.007444 0.000000
CD85 F88C 0D6B 1F14 F38F E647 4968 D3E1 00A7311D 0258B748 37.544746 37.544746 0.000000
D2AE 4220 2557 C8C9 4D92 1240 B96E 0EC2 FFB9599C E93AAF8C -364.332142 -364.332142 0.000000
0B10 3867 07F9 2AA4 E7B4 EC1C E11E BEE7 FF0E5315 EDD1A3C3 -290.897519 -290.897519 0.000000
422B CD71 08A1 1BC2 0981 0E22 03DE 3DC2 00237076 06A163C5 106.086858 106.086858 0.000000
C994 03EB E062 241A BC7F DB39 CD5B 0D1F 010AA94B 16EF3006 366.949224 366.949224 0.000000
3CC0 3DB8 163C C848 154A 0B1F 0E2D 1834 001E310F 03D08103 61.031497 61.031497 0.000000
2931 D252 4E68 31C7 E6F5 1374 4DF3 B2C9 00C52EED 02212BF1 34.073228 34.073228 0.000000
FA9A CBC4 E903 20BB 4D5A 1EAD 2047 CCAC 00660F6F EF0C2880 -271.240112 -271.240112 0.000000
46B0 B3EF 3F37 CDC4 E9F8 DDD6 CD18 1B10 FFDF0FA1 F20EF753 -223.064618 -223.064618 0.000000
CBBF 37FB B9C9 4E09 DF42 B508 DEF2 2FFA 01263F19 0F2127FB 242.072261 242.072261 0.000000
B862 4D2E ED0E F3E0 3292 32E5 BADC C9B2 005B0702 093DAED4 147.855183 147.855183 0.000000
E54D B9A3 440D 31BA E42B C21F 4935 EBB2 00305831 239D8DE2 569.847139 569.847139 0.000000
D318 3144 3C34 D41B 0FCD 342F 26A2 CD14 FFCD83E3 18E3D39B 398.239161 398.239161 0.000000
CA8C 163D C81F 18C6 C021 DFAD 00AC 0F8F FF551E11 0B3849C4 179.518009 179.518009 0.000000
F85D 1A97 D81E 4BD4 E2EE B7C1 D346 E710 01166F84 FA084845 -95.482356 -95.482356 0.000000
E43A 0F3D 42D7 37EA D082 4558 FC09 B468 009D8786 F8597791 -122.408309 -122.408309 0.000000
E0CD EC0E 07F2 C63C B347 1655 169B 0677 FEF25474 05CCC25F 92.797454 92.797454 0.000000
06BA EA57 394D 2D8D F219 C3C5 041B E5A3 FFE8DC5B 00DE535E 13.895353 13.895353 0.000000
1D59 BE4A C4D3 F599 0D72 2EE8 B9CC 01DB 01391FBE 06E07B77 110.030143 110.030143 0.000000
2788 1FF2 12EC CFD7 BCB1 2704 D2CC 3A83 013A1F80 ED5A6F65 -298.347804 -298.347804 0.000000
4E3D 3FFC 17B0 B014 EFEC 191D 1801 16B1 00AF16EE FD2F133A -45.057806 -45.057806 0.000000
4047 30AA 0B2F 000D 4320 E66A B1DD B762 FFCEBEB3 085EB584 133.919315 133.919315 0.000000
C7AF 3F5F C0C5 F6EB 0915 371E CE45 D911 004F7666 199EE897 409.931785 409.931785 0.000000
16CD B4D3 0D78 1843 2091 B921 34FA 3C8C 00C60317 2102D73B 528.177547 528.177547 0.000000
2C0A 056A D4E9 05B2 3B01 D724 3C2B C1C9 00B6D533 FE7D220A -24.179190 -24.179190 0.000000
24A3 0420 DC85 D9B8 2988 4272 243D 48AB FFE30DAC F703231D -143.803927 -143.803927 0.000000
4115 B8F3 B859 24C8 DA37 FC33 46EF 0C45 FEEE1D37 E449C222 -443.390104 -443.390104 0.000000
E91A 4008 F43E 2915 4AC3 CCBB FBAE CCBE 0089F01D E5002E7D -431.988650 -431.988650 0.000000
4914 E4D8 D1A4 D8D3 2DFC B83C 3F26 2F93 FF5C1FD0 01622EA1 22.136384 22.136384 0.000000
BA75 1446 D4AB C1C9 1765 0F04 DF7F 28CD 007DE3E4 F6E96DEF -145.410661 -145.410661 0.000000
B055 29C7 1352 B47D CA3C D5FF ECE8 4684 00502A82 F3F3196B -192.806294 -192.806294 0.000000
34E7 3656 F77F 28BE FCC1 1144 CC8E E021 FFD736D2 FF789EC1 -8.461242 -8.461242 0.000000
B497 1389 2A5A DACA 03E4 07BE 363A 2D33 FF575E68 012FE534 18.993458 18.993458 0.000000
EB66 0971 02D3 4275 B6AB B5C9 D8EA 21CB 008DF308 0C0F6788 192.962776 192.962776 0.000000
27CF F459 4B9C 3AA1 09CC FF7C 0FBC 44DF FF8CC484 15844763 344.267428 344.267428 0.000000
1A5B EDCD D88A D447 4517 1679 C846 4CF0 00228F8C 011994EA 17.598856 17.598856 0.000000
FC21 162B 2836 C984 CC96 3341 D987 B752 FECAA3AA 0D6EBFAD 214.921796 214.921796 0.000000
FC88 3106 191D 44B6 ED2E 4E13 1996 F35D 011126F7 0F642AF5 246.260488 246.260488 0.000000
FA75 3BF3 0CDE BB82 C832 17E8 3CA1 2D47 FFEC6108 FDA9D7C6 -37.384821 -37.384821 0.000000
37F7 BF66 3D59 E2CC 02DB C95F 19C1 C0F6 FF0B75F2 1AD1423A 429.078669 429.078669 0.000000
C003 CD46 1F61 2C50 124A D923 2C52 C68C FF534B54 FDF13D96 -32.922464 -32.922464 0.000000
CF99 F792 EC69 1545 4056 C07F 1C7E CBDD 00F00A33 F05A4446 -250.358332 -250.358332 0.000000
BCCF 2C79 C8A1 0280 D20C 16D9 BF3C D8D2 FFEFBCB0 1D97AEB1 473.480149 473.480149 0.000000
48A7 B4D8 06BC F7A0 C152 DB0F 0AA4 D8AB 011B66F7 FBBB046D -68.311419 -68.311419 0.000000
2209 37DA CB26 C259 DD32 28E8 ED9B F1D3 0131DC28 0CB41AD7 203.256553 203.256553 0.000000
CE2E E80B 3D6F D40F 0F66 258A FBC4 34A7 FED44877 EE440D7E -283.746706 -283.746706 0.000000
CE85 DFC4 C3BA F7EC 45AC EF99 CF24 F4D2 FF5193D1 FFC62211 -3.616683 -3.616683 0.000000
B93E B7A0 ED53 12BA 22E9 D01E B0E7 47EB FF219311 0E0CE9E2 224.807100 224.807100 0.000000
1F1F D38D BD7C E926 EA35 14FC B3C1 3716 FEFB4325 07950F1C 121.316189 121.316189 0.000000
E13C B4E0 44C7 F168 4D27 B518 E519 C994 FF0EBA21 07A45DD4 122.272907 122.272907 0.000000
2073 BB99 084E B9EE 04FF 4770 C9E8 2F3E 00201C44 DEFC3B15 -528.235576 -528.235576 0.000000
B467 C7E3 15DA 2903 45FD 339C B862 2FD2 0124DFEE E2B632F7 -468.612557 -468.612557 0.000000
0B62 F20B E205 418F 4287 125F 49FE E45D FF955292 F1CC0A3E -227.247499 -227.247499 0.000000
B1F5 C817 0312 C51E F332 0A0C 374D B0F7 FEDAACC6 1367DF10 310.491959 310.491959 0.000000
C971 3CAD D5A4 210A B9A8 E47E B7B6 DEE6 00E77DF1 1110C3D3 273.047809 273.047809 0.000000
F225 2F97 D296 40D6 00F4 173A 12F6 CE98 01237E78 F5873E26 -167.547327 -167.547327 0.000000
