a0 a1 a2 a3 b0 b1 b2 b3 c0 sim_hex sim_val golden_val abs_error
2D 22 D7 F7 F9 31 CF 31 35 51 1.531250 1.540771 0.009521
EE 0F E9 D3 EE F6 D8 C2 1E 4E 1.437500 1.416992 0.020508
3B 2F D1 D5 36 D9 04 D8 31 4F 1.468750 1.469971 0.001221
D0 DA 34 2F DB CC F9 18 37 60 2.000000 1.961914 0.038086
01 3D F2 C3 28 FA 0C F2 F9 FE -0.031250 -0.021484 0.009766
E2 E4 F2 33 D5 C5 C5 F4 D3 04 0.062500 0.067383 0.004883
03 F0 1F E4 F6 CA 34 05 20 42 1.062500 1.062988 0.000488
EF CD E0 C6 2F 1D 06 37 FF B4 -1.375000 -1.397461 0.022461
2A F3 40 EF 27 F8 23 E8 CA 0E 0.218750 0.228027 0.009277
3C 2B E9 37 01 2B 13 2D DC 1A 0.406250 0.401123 0.005127
1A 12 08 2B 3F 1E EA 03 19 3A 0.906250 0.910889 0.004639
26 13 3C 01 C2 E9 1C DB 1D 0A 0.156250 0.172363 0.016113
29 E1 F6 DF 32 17 C6 DB 3D 57 1.718750 1.719238 0.000488
DF C3 02 2C 28 15 F6 07 FE D9 -0.609375 -0.595947 0.013428
3C 07 ED 04 F6 DD F9 CA C0 B9 -1.218750 -1.226562 0.007812
E6 2F 2C 2F CA 13 CF 26 2A 44 1.125000 1.126709 0.001709
E1 D6 F3 E5 1F 36 CE DF 17 FD -0.046875 -0.052734 0.005859
CD C8 08 CA FD D9 C9 36 13 02 0.031250 0.048096 0.016846
0C CC C8 39 33 F6 F4 DF C9 C8 -0.875000 -0.878174 0.003174
C7 0F 1C ED E9 33 1C 05 30 4E 1.437500 1.425049 0.012451
F7 08 25 C9 36 F0 27 F7 DF F4 -0.187500 -0.192383 0.004883
C7 29 0F D4 11 29 0D F8 DE F2 -0.218750 -0.223877 0.005127
E2 F5 03 C0 3F E6 24 19 31 00 0.000000 0.009766 0.009766
02 04 04 18 14 38 33 26 3B 48 1.250000 1.258789 0.008789
1E 06 02 DA C8 FB EA FE D0 BA -1.187500 -1.159668 0.027832
CD C7 C0 30 0D 37 E9 3F C4 CF -0.765625 -0.767090 0.001465
DD 19 2C 05 D2 D2 0E 22 CB DF -0.515625 -0.523926 0.008301
3D F1 35 E6 D3 C8 FA 20 11 E1 -0.484375 -0.480225 0.004150
